Model;RAM;HDD;Location;Price
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€49.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€119.00
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€131.99
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€227.99
RH2288v32x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€161.99
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€72.99
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€179.99
IBM X36302x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€106.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€39.99
Dell R730XD2x Intel Xeon E5-2667v4;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€364.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€364.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€279.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€286.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€239.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€199.99
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€35.99
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€59.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€1044.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€756.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€874.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€89.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€199.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€154.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€84.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;AmsterdamAMS-01;€112.99
HP DL120G91x Intel E5-1620v3;32GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€119.99
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€154.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€142.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€209.99
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€227.99
RH2288v32x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€161.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€204.99
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€72.99
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€221.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€129.99
Dell R6202x Intel Xeon E5-2650;96GBDDR3;8x120GBSSD;AmsterdamAMS-01;€191.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€195.99
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€295.99
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€355.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€163.99
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€119.99
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€272.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€367.99
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€212.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€277.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€389.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€180.99
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€246.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€341.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€166.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€304.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€279.99
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€60.99
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€110.99
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€83.99
